,SERIAL,JOURV7,DEVICE,SEXE,AGE2,DEP,REG12,AGGLO5,EMP,PCSI,MAR,A0_0,A0_1,A0_2,A1,A2,A2BIS,A3_0,A3_1,A3BIS,A4,A5Q,A6_0,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,B1Q,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B3Q,B5Q,B5AQ,B5BQ,B5CQ,B6Q_0,B6Q_1,B6Q_2,C1C2,C3,C4_0,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C51,C52,C53,C54,C6_0,C6_1,C6_2,C6_3,C7,C7DEP,C7REG12,C8Q,C9QA,C9QB,C9QC,C10,C11,D60A,D60,D61,D62_0,D62_1,D62_2,D63,ALEAD65,D65,D66,ALEAD70,D70,D71,D67,D68_0,D68_1,D68_2,D68_3,D68_4,D68_5,D68_6,D68_7,D68_8,D69_0,D69_1,D69_2,D69_3,D69_4,D69_5,D69_6,D69_7
0,1,1,3,2,4,34,10,4,8,8,1,3,9,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,1,1,4,2,1,1,2,2,180,2,,30.0,40.0,0,0,0,2,2.0,2,2,2,2,2,2,2,2,3,3,4,4,,,,,1,34.0,10,2.0,1,0,0,4,,2,1,1,2,3,2,2,1,3.0,,1,4.0,,2,2,2,2,2,2,2,2,2,2,2,5,2,1,1,2,5,1
1,2,1,2,2,1,6,12,4,8,8,1,1,8,5,2,,2.0,3,,2,2,,2,2,2,2,1,2,2,1,2,2,2,4,1,1,1,4,1,1,1,2,1,120,0,,,,0,0,0,2,2.0,2,2,2,2,2,2,2,2,3,2,1,3,,,,,1,6.0,12,4.0,4,1,0,1,,5,1,1,1,3,4,2,2,,3.0,1,5.0,,2,2,4,4,4,4,4,4,4,4,4,3,4,1,4,2,4,1
2,3,1,2,2,7,2,5,1,6,8,3,1,2,3,1,6.0,,3,,2,2,,2,2,2,2,1,1,2,1,2,1,2,9,1,1,1,4,1,1,1,2,2,180,4,,7.0,62.0,1,3,0,4,2.0,2,3,1,2,3,2,1,3,3,3,3,4,,,,,1,2.0,5,8.0,2,0,0,4,,4,2,1,2,3,1,2,2,,3.0,2,,5.0,2,1,2,2,4,4,3,2,2,3,1,1,1,1,1,1,2,2
3,4,1,2,1,2,13,12,4,4,5,1,8,4,2,2,,2.0,3,,2,1,0.0,2,2,3,2,2,2,2,2,2,2,2,8,1,3,1,1,3,1,1,1,2,160,3,,52.0,28.0,8,4,0,2,,2,2,2,2,2,2,1,2,1,4,2,2,2.0,,,,1,13.0,12,1.0,1,0,0,5,3.0,4,2,1,2,3,1,2,1,3.0,,1,1.0,,1,1,2,2,3,1,3,1,3,1,1,2,4,1,1,2,5,5
4,5,1,1,1,7,91,1,5,1,4,1,2,6,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,2,3,3,2,1,1,2,3,120,10,,55.0,25.0,1,0,1,4,,2,2,2,2,2,2,2,2,4,4,4,4,3.0,5.0,,,1,91.0,1,2.0,1,0,0,6,1.0,4,2,2,2,3,3,1,2,,3.0,2,,2.0,1,2,2,2,3,2,3,2,2,3,4,4,4,4,4,4,4,4
5,6,1,2,2,2,78,1,5,4,6,7,3,7,5,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,3,2,2,1,2,2,120,0,,,,0,2,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,3,5.0,,,,1,78.0,1,3.0,3,1,0,5,5.0,2,1,1,2,3,1,2,1,3.0,,2,,2.0,1,3,2,2,3,3,3,3,3,3,2,4,2,2,2,4,2,5
6,7,1,1,2,9,59,5,4,7,7,5,1,6,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,9,2,3,1,1,1,1,1,2,3,180,1,72.0,,,5,0,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,59.0,5,3.0,1,0,0,5,5.0,2,2,1,2,3,2,1,1,3.0,,1,2.0,,2,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3
7,8,1,2,2,1,59,5,4,8,8,1,3,7,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,1,2,1,4,4,4,2,2,480,5,,19.0,20.0,10,2,0,2,2.0,2,2,2,2,2,2,2,2,4,3,4,3,,,,,1,59.0,5,5.0,3,1,0,5,2.0,3,2,1,2,3,2,1,2,,3.0,1,2.0,,2,1,2,2,2,2,2,2,2,2,3,2,2,1,2,3,5,3
8,9,1,2,2,5,74,11,3,2,4,4,8,4,1,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,1,1,1,1,1,1,2,2,450,5,,30.0,40.0,1,0,2,2,2.0,2,2,2,2,2,2,2,1,1,1,4,3,8.0,,,,1,74.0,11,5.0,2,1,0,6,3.0,2,2,1,2,4,2,2,1,3.0,,1,5.0,,1,2,2,2,3,2,2,2,3,2,2,5,2,3,2,2,2,2
9,10,1,2,1,3,92,1,5,1,3,2,2,8,1,1,3.0,,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,1,1,2,1,1,3,0,2,,35.0,35.0,1,0,0,4,,2,2,2,2,2,2,2,2,4,4,4,4,3.0,,,,1,92.0,1,3.0,2,0,0,6,1.0,4,1,1,2,3,2,1,2,,3.0,2,,1.0,2,2,2,3,3,2,3,2,3,4,2,2,2,2,2,2,2,3
